"truesurface","",""
8.37478107999305,8.22094342316478,8.17096673154895
8.35635875540168,8.15432525469661,8.26635215362972
8.12235894673144,8.09771552600103,8.28120268280636
7.92676520099802,8.168015203986,8.29245214966883
8.1273202394303,8.37928294766041,8.30171510201276
8.44012185995811,8.63198741942525,8.72431296766473
8.68053906589266,8.78530663276555,8.73246569638879
8.6846730476276,8.74940205429231,8.74031084631919
8.54567936701421,8.5356552897408,8.74795269585505
8.32527949603692,8.30452863757312,8.38375734762731
8.05645239952905,8.17386452173761,8.39123813948812
8.11259279501642,8.22181342498183,8.3986506126708
8.30242734785879,8.449307958541,8.40602345281073
8.61843223912237,8.75193950683303,9.03001726760958
8.87869544477146,9.00922003436531,9.03725636268569
9.24710539912007,9.1752587344853,9.04444125805834
9.24692092815578,9.22802450835895,9.05154622373719
8.98518802381466,9.20240766802737,9.24313890782586
8.96412530387713,9.1555024858074,9.25024960170624
9.17574764435658,9.10702030481923,9.25776757520078
9.2275350481496,9.07196543646887,9.26654503017939
9.13892450901627,9.05098427753633,9.28122283096284
9.07412252434757,9.04249463015715,9.28714534611177
8.98822608919267,9.07759387274178,9.29424550515349
8.89355688225437,9.16152953922729,9.30195522059964
9.02198508679001,9.29532539464128,9.83096273452713
9.43370175834769,9.46264483075101,9.83884276717218
9.65346303850087,9.65865442208254,9.84663676144008
9.94309111601657,9.84431859056017,9.85436976013402
10.1736184739365,9.99236045753069,10.3692721433119
10.2467559868819,10.1072116600143,10.3768999576198
10.0421754866526,10.1472119094537,10.3844863536435
9.85097297348373,10.1194247834521,10.3920351049533
9.8400990373152,10.0424329555627,10.1299688409043
9.86162324018903,9.92577666168943,10.1374916355122
9.78164036029972,9.83187968525572,10.1449687060437
9.77017665212161,9.76487850546768,10.1524401984639
7.91412818361003,7.9428991452284,8.1701777277857
7.9580232117795,8.00730207313497,8.1745981382446
8.03339781354974,8.09087671454759,8.17588538742755
8.13812715474366,8.14338684307048,8.17082792582171
8.03799369011306,8.05020119598742,8.2642343167139
7.76354197126925,7.9500998650843,8.28066125393995
7.58755793067871,7.99146418996918,8.29233523758924
7.81418134339081,8.16956334821623,8.30185486725471
8.11010158036109,8.40266876709066,8.72425307709623
8.44070458494894,8.54883389308414,8.73240761681472
8.5684834095668,8.5117457130016,8.74021557864336
8.47350838489447,8.3054827907068,8.74787521323371
8.18788453197093,8.02846184219819,8.38367401004245
7.81369044101615,7.87232855269867,8.39112221991252
7.75293550860591,7.90428422351595,8.39853588743483
7.77073707183514,8.10163087696645,8.40591751190748
7.93078399219103,8.37452228435543,9.02994709216442
8.22811493598556,8.62609053831623,9.03722628247393
8.68787756284946,8.78316773880871,9.04446259792567
8.73168611006078,8.850539291171,9.05163237154533
8.6141692971874,8.83487149416443,9.24327142094872
8.69179479604039,8.80968819159677,9.25036400318666
8.9390317071065,8.80119317684805,9.25757445562918
9.02372166061527,8.81229997833334,9.26496100438039
9.06111584708713,8.8348603884212,9.27936476760363
9.01514485354954,8.86810149228197,9.28671411826488
